City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
port alfred,88,ZA,10-3-2018,99,-33.59,26.89,59.57,16.49
la libertad,0,PE,10-3-2018,24,-16.38,-71.56,57.2,3.36
bethel,90,US,10-3-2018,86,60.79,-161.76,48.92,11.41
saldanha,0,PT,10-3-2018,70,41.42,-6.55,44.36,5.53
hurricane,75,US,10-3-2018,81,37.18,-113.29,71.96,5.82
mizan teferi,32,ET,10-3-2018,93,6.99,35.58,57.68,2.95
punta arenas,20,CL,10-3-2018,80,-53.16,-70.91,39.2,17.22
la ronge,5,CA,10-3-2018,70,55.1,-105.3,32.0,6.93
carnarvon,0,ZA,10-3-2018,80,-30.97,22.13,41.66,17.16
qaanaaq,24,GL,10-3-2018,100,77.48,-69.36,22.58,7.54
oktyabrskiy,90,RU,10-3-2018,93,55.61,37.97,48.2,6.71
jamestown,76,AU,10-3-2018,66,-33.21,138.6,63.89,11.01
busselton,48,AU,10-3-2018,94,-33.64,115.35,63.44,20.51
nanakuli,75,US,10-3-2018,76,21.39,-158.15,84.02,8.05
kodiak,1,US,10-3-2018,76,39.95,-94.76,77.0,9.17
husavik,92,CA,10-3-2018,100,50.56,-96.99,40.31,12.12
pisco,75,PE,10-3-2018,88,-13.71,-76.2,64.4,4.7
ibra,0,OM,10-3-2018,60,22.69,58.55,63.44,1.83
tongzi,100,CN,10-3-2018,100,28.78,105.09,58.4,7.99
kapaa,40,US,10-3-2018,74,22.08,-159.32,84.02,6.93
santa fe,0,AR,10-3-2018,72,-31.62,-60.7,46.79,3.85
alto araguaia,8,BR,10-3-2018,78,-17.32,-53.22,70.46,1.72
gedo,24,ET,10-3-2018,83,9.01,37.45,51.56,2.73
baykit,80,RU,10-3-2018,71,61.68,96.39,34.28,12.24
okhotsk,8,RU,10-3-2018,82,59.36,143.24,46.79,4.18
santa cruz,75,US,10-3-2018,75,36.97,-122.03,71.06,4.7
mahebourg,40,MU,10-3-2018,82,-20.41,57.7,68.0,2.24
pangnirtung,64,CA,10-3-2018,85,66.15,-65.72,22.94,6.64
atikokan,88,CA,10-3-2018,89,48.76,-91.62,48.59,6.98
cayenne,0,GF,10-3-2018,100,4.94,-52.33,73.4,2.24
bluff,0,AU,10-3-2018,30,-23.58,149.07,82.34,8.66
yaan,80,NG,10-3-2018,95,7.38,8.57,74.42,5.19
bratsk,40,RU,10-3-2018,93,56.15,101.63,37.4,8.95
port elizabeth,90,US,10-3-2018,81,39.31,-74.98,75.02,11.41
dikson,32,RU,10-3-2018,100,73.51,80.55,37.88,22.41
esperance,20,TT,10-3-2018,94,10.24,-61.45,77.0,5.19
tawau,75,MY,10-3-2018,62,4.26,117.89,89.6,5.82
mar del plata,24,AR,10-3-2018,52,-46.43,-67.52,46.61,17.27
nikolskoye,90,RU,10-3-2018,93,59.7,30.79,42.8,4.47
coquimbo,0,CL,10-3-2018,87,-29.95,-71.34,51.8,8.66
broome,0,GB,10-3-2018,93,52.47,1.45,50.0,3.36
codrington,0,AU,10-3-2018,68,-28.95,153.24,72.53,3.4
san policarpo,80,PH,10-3-2018,100,12.18,125.51,81.08,9.55
deputatskiy,80,RU,10-3-2018,87,69.3,139.9,25.55,11.01
georgetown,0,GY,10-3-2018,100,6.8,-58.16,75.2,2.24
katsuura,40,JP,10-3-2018,64,33.93,134.5,73.4,5.82
yellowknife,75,CA,10-3-2018,73,62.45,-114.38,26.6,14.99
mersing,0,MY,10-3-2018,86,2.43,103.84,87.29,3.74
oksfjord,92,NO,10-3-2018,80,70.24,22.35,35.6,10.29
mahibadhoo,88,MV,10-3-2018,100,3.78,72.97,80.0,26.33
winona,90,CA,10-3-2018,96,43.21,-79.65,53.96,5.82
vaitape,8,PF,10-3-2018,100,-16.52,-151.75,76.4,26.78
cabo san lucas,20,MX,10-3-2018,78,22.89,-109.91,78.8,5.82
dunedin,20,NZ,10-3-2018,78,-45.87,170.5,53.81,2.39
upernavik,0,GL,10-3-2018,100,72.79,-56.15,29.06,10.22
biak,64,ID,10-3-2018,82,-0.91,122.88,81.62,5.97
hamilton,75,BM,10-3-2018,74,32.3,-64.78,78.8,18.34
sitka,8,US,10-3-2018,50,37.17,-99.65,78.29,18.84
kaitangata,0,NZ,10-3-2018,62,-46.28,169.85,56.24,11.45
port blair,8,IN,10-3-2018,100,11.67,92.75,85.04,4.18
casper,1,US,10-3-2018,50,42.87,-106.31,68.0,28.86
tacuarembo,0,UY,10-3-2018,79,-31.73,-55.98,47.6,8.77
amapa,75,HN,10-3-2018,88,15.09,-87.97,75.2,4.7
port hardy,5,CA,10-3-2018,75,50.7,-127.42,41.0,5.82
thompson,40,CA,10-3-2018,58,55.74,-97.86,28.4,6.87
fortuna,0,ES,10-3-2018,82,38.18,-1.13,60.8,1.12
osorno,0,CL,10-3-2018,93,-40.57,-73.14,34.73,4.41
verkhniy ufaley,32,RU,10-3-2018,81,56.06,60.23,40.04,5.97
atuona,92,PF,10-3-2018,100,-9.8,-139.03,78.11,11.34
launceston,75,AU,10-3-2018,48,-41.43,147.14,62.6,10.29
guajara,0,BR,10-3-2018,88,-0.88,-48.16,77.0,5.82
matelandia,75,BR,10-3-2018,100,-25.24,-54.0,71.6,0.94
dingle,24,PH,10-3-2018,81,11.0,122.67,84.95,3.85
behat,0,IN,10-3-2018,78,30.17,77.62,75.32,4.41
hasaki,75,JP,10-3-2018,78,35.73,140.83,71.6,10.29
puerto leguizamo,8,CO,10-3-2018,92,-0.19,-74.78,77.57,1.95
ipubi,8,BR,10-3-2018,54,-7.65,-40.15,72.08,10.45
meulaboh,32,ID,10-3-2018,100,4.14,96.13,81.89,2.62
hay river,75,CA,10-3-2018,58,60.82,-115.79,30.2,8.05
henties bay,100,NA,10-3-2018,88,-22.12,14.28,59.66,3.62
shizunai,48,JP,10-3-2018,85,42.33,142.37,61.37,13.69
garowe,92,SO,10-3-2018,98,8.41,48.48,68.66,4.63
santa maria,90,BR,10-3-2018,82,-29.69,-53.81,59.0,12.75
sabancuy,20,MX,10-3-2018,100,18.97,-91.18,78.74,12.24
sladkovo,80,RU,10-3-2018,80,55.53,70.34,45.62,9.78
san cristobal,40,EC,10-3-2018,87,-0.39,-78.55,53.6,2.24
zlobin,0,HR,10-3-2018,66,45.29,14.65,50.0,3.36
cantaura,8,VE,10-3-2018,75,9.31,-64.36,78.56,9.55
caravelas,92,BR,10-3-2018,100,-17.73,-39.27,77.21,16.26
portland,20,US,10-3-2018,57,45.52,-122.67,60.08,18.34
taksimo,20,RU,10-3-2018,60,56.36,114.84,49.13,1.61
sicamous,90,CA,10-3-2018,94,50.84,-118.99,41.0,16.11
imbituba,75,BR,10-3-2018,100,-28.24,-48.67,68.0,4.7
sao paulo de olivenca,64,BR,10-3-2018,92,-3.38,-68.87,78.47,2.17
edd,0,ER,10-3-2018,83,13.93,41.69,66.23,1.95
poum,0,MK,10-3-2018,90,41.28,20.71,46.79,2.17
clyde river,90,CA,10-3-2018,100,70.47,-68.59,23.0,5.82
tecoanapa,40,MX,10-3-2018,79,16.99,-99.26,84.2,10.29
tosya,0,TR,10-3-2018,86,41.02,34.04,39.86,2.28
gusinoye ozero,0,RU,10-3-2018,82,51.11,106.26,58.49,4.18
ilulissat,0,GL,10-3-2018,42,69.22,-51.1,26.6,8.05
soe,90,EE,10-3-2018,93,57.91,26.05,42.8,5.82
shelburne,90,CA,10-3-2018,100,44.08,-80.2,51.8,2.24
catio,24,GW,10-3-2018,94,11.28,-15.25,74.96,4.85
doha,0,QA,10-3-2018,62,25.29,51.53,89.6,5.53
presidencia roque saenz pena,76,AR,10-3-2018,59,-26.79,-60.44,62.63,10.11
seymchan,12,RU,10-3-2018,100,62.93,152.39,29.96,3.62
dauriya,0,RU,10-3-2018,41,49.93,116.85,64.34,4.63
pamanukan,0,ID,10-3-2018,100,-6.28,107.82,82.34,2.95
hilo,75,US,10-3-2018,67,19.71,-155.08,82.04,6.93
frontera,75,MX,10-3-2018,100,18.53,-92.64,77.0,11.12
cay,12,TR,10-3-2018,93,38.59,31.03,42.29,2.95
barrow,0,AR,10-3-2018,70,-38.31,-60.23,43.91,5.41
ribeira grande,64,PT,10-3-2018,100,38.52,-28.7,71.72,8.1
east london,75,ZA,10-3-2018,87,-33.02,27.91,53.6,13.87
mustasaari,88,FI,10-3-2018,92,63.17,21.67,30.2,6.2
saint george,0,GR,10-3-2018,82,39.45,22.34,57.2,4.7
ararat,20,AU,10-3-2018,79,-37.28,142.93,63.71,8.21
cidreira,92,BR,10-3-2018,100,-30.17,-50.22,61.28,11.34
aswan,0,EG,10-3-2018,30,24.09,32.9,82.4,5.82
hailun,0,CN,10-3-2018,73,47.46,126.97,59.21,4.63
uspenka,0,UA,10-3-2018,93,48.39,39.16,48.14,3.29
zhigansk,92,RU,10-3-2018,97,66.77,123.37,36.35,4.63
pevek,20,RU,10-3-2018,91,69.7,170.27,44.0,8.66
belaya gora,92,RU,10-3-2018,93,68.54,146.19,33.65,12.01
ust-nera,76,RU,10-3-2018,91,64.57,143.24,23.84,2.73
ostrovnoy,80,RU,10-3-2018,82,68.05,39.51,28.7,7.87
paamiut,80,GL,10-3-2018,97,61.99,-49.67,37.97,8.21
longyearbyen,75,NO,10-3-2018,79,78.22,15.63,28.4,3.36
sao filipe,12,CV,10-3-2018,96,14.9,-24.5,78.65,12.8
viru,90,EE,10-3-2018,93,57.74,26.74,42.8,5.82
varzea da palma,12,BR,10-3-2018,66,-17.6,-44.73,73.25,2.73
beisfjord,48,NO,10-3-2018,100,68.38,17.6,33.8,3.36
viseu,0,PT,10-3-2018,54,40.66,-7.91,55.4,4.7
kulhudhuffushi,92,MV,10-3-2018,100,6.62,73.07,78.56,13.13
two rivers,90,US,10-3-2018,89,44.15,-87.57,55.94,3.36
gazojak,0,TM,10-3-2018,51,41.19,61.4,60.11,7.54
shangrao,0,CN,10-3-2018,42,28.45,117.97,72.26,3.4
narsaq,80,GL,10-3-2018,43,60.91,-46.05,35.6,8.05
tura,24,IN,10-3-2018,90,25.52,90.21,75.59,6.2
alta floresta,92,BR,10-3-2018,96,-9.87,-56.08,72.08,2.17
constitucion,5,MX,10-3-2018,63,23.99,-104.67,66.2,3.36
huimanguillo,75,MX,10-3-2018,100,17.83,-93.39,77.0,5.19
namatanai,0,PG,10-3-2018,90,-3.66,152.44,86.39,2.28
kavieng,56,PG,10-3-2018,100,-2.57,150.8,85.04,1.39
otjimbingwe,36,NA,10-3-2018,63,-22.35,16.13,65.24,3.4
sao joao da barra,8,BR,10-3-2018,94,-21.64,-41.05,76.58,29.35
iligan,20,PH,10-3-2018,92,8.23,124.24,84.77,4.85
sena madureira,44,BR,10-3-2018,98,-9.07,-68.66,73.79,2.17
tiksi,56,RU,10-3-2018,96,71.64,128.87,29.24,10.56
naze,88,NG,10-3-2018,98,5.43,7.07,72.89,3.18
hoi an,75,VN,10-3-2018,78,15.88,108.33,80.6,10.29
nagornskiy,76,RU,10-3-2018,89,58.77,57.55,42.02,11.56
bathsheba,40,BB,10-3-2018,88,13.22,-59.52,80.6,8.05
usinsk,92,RU,10-3-2018,98,66.0,57.56,41.48,12.35
ixtapa,40,MX,10-3-2018,83,20.71,-105.21,84.2,0.38
port lincoln,32,AU,10-3-2018,90,-34.72,135.86,60.56,15.03
nome,1,US,10-3-2018,100,30.04,-94.42,77.0,4.74
tuatapere,0,NZ,10-3-2018,89,-46.13,167.69,51.29,17.83
klaksvik,0,FO,10-3-2018,86,62.23,-6.59,37.4,1.12
kamenka,80,RU,10-3-2018,97,53.19,44.05,52.28,7.31
luocheng,0,CN,10-3-2018,44,28.29,114.55,76.22,5.64
ouallam,0,NE,10-3-2018,72,14.32,2.08,75.41,2.73
kununurra,0,AU,10-3-2018,30,-15.77,128.74,95.0,12.75
gillette,20,US,10-3-2018,55,44.29,-105.5,60.08,6.93
khuzhir,12,RU,10-3-2018,68,53.19,107.35,55.97,2.17
yichang,32,CN,10-3-2018,77,30.77,111.32,73.16,4.29
north bend,1,US,10-3-2018,85,43.41,-124.22,53.06,3.36
banes,75,CU,10-3-2018,94,20.96,-75.72,75.2,3.36
ormara,0,PK,10-3-2018,72,25.21,64.64,78.38,5.19
czersk,92,PL,10-3-2018,92,53.8,17.98,47.78,28.23
baruun-urt,0,MN,10-3-2018,34,46.68,113.28,60.29,13.35
luderitz,0,NA,10-3-2018,77,-26.65,15.16,56.87,17.49
elwood,1,US,10-3-2018,92,40.59,-99.86,61.16,11.56
arak,0,IR,10-3-2018,91,34.1,49.69,46.97,3.62
srednekolymsk,88,RU,10-3-2018,73,67.46,153.71,35.45,4.52
kamakwie,32,SL,10-3-2018,97,9.5,-12.24,71.36,2.39
sulangan,68,PH,10-3-2018,100,11.14,123.72,83.06,12.46
tuy hoa,92,VN,10-3-2018,100,13.08,109.3,76.13,6.2
twin falls,1,US,10-3-2018,38,42.57,-114.46,66.02,11.41
ancud,48,CL,10-3-2018,89,-41.87,-73.83,40.58,4.07
shellbrook,90,CA,10-3-2018,68,53.22,-106.39,30.2,2.24
sale,90,GB,10-3-2018,100,53.42,-2.32,55.4,4.7
vila franca do campo,40,PT,10-3-2018,88,37.72,-25.43,69.8,12.75
ingham,12,AU,10-3-2018,85,-18.65,146.16,74.51,11.9
novo selo,75,BA,10-3-2018,100,44.23,17.95,46.4,2.06
polunochnoye,64,RU,10-3-2018,90,60.87,60.43,38.96,7.76
guantanamo,68,BO,10-3-2018,84,-16.14,-62.05,75.59,3.18
nanortalik,92,GL,10-3-2018,100,60.14,-45.24,33.56,2.17
saskylakh,76,RU,10-3-2018,94,71.97,114.09,26.09,4.07
mount gambier,76,AU,10-3-2018,90,-37.83,140.78,58.85,7.2
melur,20,IN,10-3-2018,70,10.03,78.34,84.2,4.52
navahrudak,92,BY,10-3-2018,84,53.59,25.82,42.38,20.62
te anau,0,NZ,10-3-2018,70,-45.41,167.72,46.97,11.56
russellville,1,US,10-3-2018,97,35.28,-93.13,71.96,4.18
sainte-suzanne,90,CH,10-3-2018,100,47.51,6.77,51.8,3.36
belyy yar,40,RU,10-3-2018,75,53.6,91.39,44.6,6.71
kahului,40,US,10-3-2018,65,20.89,-156.47,86.0,13.87
alofi,75,NU,10-3-2018,65,-19.06,-169.92,78.8,16.11
opuwo,0,NA,10-3-2018,31,-18.06,13.84,64.61,6.53
oktyabrskoye,88,RU,10-3-2018,81,56.73,85.44,40.76,5.41
carney,1,US,10-3-2018,83,39.39,-76.52,78.08,3.36
hanyang,76,CN,10-3-2018,60,32.14,105.51,62.72,2.62
cravo norte,76,CO,10-3-2018,93,6.3,-70.2,75.32,2.73
guaruja,68,BR,10-3-2018,78,-23.99,-46.26,71.6,4.7
abalak,36,NE,10-3-2018,73,15.46,6.28,76.22,2.95
jackson,1,US,10-3-2018,93,35.61,-88.82,75.92,4.7
college,1,US,10-3-2018,8,64.86,-147.8,53.06,4.18
palana,92,RU,10-3-2018,99,59.08,159.95,42.38,4.63
cherskiy,44,RU,10-3-2018,69,68.75,161.3,44.36,2.39
isangel,0,VU,10-3-2018,100,-19.55,169.27,73.34,16.15
ankang,0,CN,10-3-2018,46,32.73,108.99,65.06,2.39
kavaratti,0,IN,10-3-2018,100,10.57,72.64,83.24,4.41
cimislia,0,MD,10-3-2018,76,46.52,28.78,51.8,10.29
teya,40,MX,10-3-2018,94,21.05,-89.07,75.2,4.52
leningradskiy,32,RU,10-3-2018,85,69.38,178.42,42.47,15.03
harper,1,US,10-3-2018,81,30.3,-99.24,75.92,11.01
arraial do cabo,12,BR,10-3-2018,94,-22.97,-42.02,73.52,12.12
sal rei,20,CV,10-3-2018,83,16.18,-22.92,78.8,11.41
pitiquito,32,MX,10-3-2018,94,30.68,-112.05,71.0,3.62
havre-saint-pierre,40,CA,10-3-2018,89,50.23,-63.6,32.0,6.93
maniitsoq,92,GL,10-3-2018,100,65.42,-52.9,29.51,9.22
okha,68,RU,10-3-2018,74,53.59,142.95,48.86,16.6
bandarbeyla,48,SO,10-3-2018,95,9.49,50.81,76.4,11.68
mamallapuram,40,IN,10-3-2018,74,12.63,80.17,87.8,6.93
ust-kuyga,92,RU,10-3-2018,84,70.0,135.55,28.25,11.01
namie,75,JP,10-3-2018,64,37.52,140.86,71.6,4.7
antofagasta,90,CL,10-3-2018,71,-23.65,-70.4,57.2,9.17
kargopol,92,RU,10-3-2018,98,61.51,38.95,43.73,7.43
vallenar,12,CL,10-3-2018,71,-28.58,-70.76,50.39,2.06
ginir,0,ET,10-3-2018,88,7.14,40.71,51.11,2.62
chachapoyas,0,PE,10-3-2018,87,-6.23,-77.87,57.23,2.06
tombouctou,0,ML,10-3-2018,40,16.77,-3.01,80.54,8.21
upata,0,VE,10-3-2018,69,8.02,-62.41,76.76,8.55
natal,20,BR,10-3-2018,83,-5.81,-35.21,75.2,6.93
blagodatnoye,90,RU,10-3-2018,100,51.57,35.54,50.0,6.71
orlik,92,RU,10-3-2018,93,52.51,99.83,35.18,1.95
stonewall,90,CA,10-3-2018,93,50.13,-97.33,42.8,11.41
salta,0,AR,10-3-2018,62,-24.79,-65.41,59.0,6.93
eyl,76,SO,10-3-2018,95,7.98,49.82,74.69,11.79
meadow lake,8,CA,10-3-2018,58,54.13,-108.44,28.43,7.2
devils lake,90,US,10-3-2018,89,48.11,-98.87,50.0,10.29
dicabisagan,24,PH,10-3-2018,95,17.08,122.42,81.44,7.43
faya,0,SA,10-3-2018,36,18.39,42.45,60.8,3.06
mount pleasant,1,US,10-3-2018,88,33.16,-94.97,77.54,6.87
margate,20,AU,10-3-2018,44,-43.03,147.26,57.2,21.92
phan thiet,88,VN,10-3-2018,100,10.93,108.1,81.17,3.74
fairbanks,1,US,10-3-2018,8,64.84,-147.72,53.06,4.18
road town,24,VG,10-3-2018,100,18.42,-64.62,81.44,2.39
salinopolis,56,BR,10-3-2018,95,-0.61,-47.36,81.08,15.82
isla aguada,44,MX,10-3-2018,100,18.78,-91.49,75.68,6.08
majene,0,ID,10-3-2018,90,-3.54,118.97,84.5,13.47
ankazoabo,0,MG,10-3-2018,79,-22.29,44.51,54.35,2.73
ibotirama,0,BR,10-3-2018,52,-12.18,-43.22,76.13,9.1
manoel urbano,76,BR,10-3-2018,90,-8.84,-69.26,76.49,2.39
hegang,0,CN,10-3-2018,54,47.34,130.28,59.48,5.19
dudinka,68,RU,10-3-2018,90,69.41,86.18,32.84,8.77
melito di porto salvo,40,IT,10-3-2018,82,37.92,15.77,66.2,2.24
hervey bay,0,AU,10-3-2018,82,-25.3,152.85,72.53,10.67
yumen,0,CN,10-3-2018,30,40.29,97.04,60.38,7.09
perevolotskiy,56,RU,10-3-2018,58,51.88,54.19,39.32,6.98
nishihara,20,JP,10-3-2018,60,35.74,139.53,73.94,5.97
ponta delgada,40,PT,10-3-2018,88,37.73,-25.67,69.8,12.75
shimoda,75,JP,10-3-2018,73,34.7,138.93,73.4,8.05
pozo colorado,76,PY,10-3-2018,97,-23.49,-58.8,65.96,7.2
yar-sale,24,RU,10-3-2018,100,66.83,70.83,34.91,6.76
roma,0,IT,10-3-2018,72,41.89,12.48,64.4,8.05
kukushtan,75,RU,10-3-2018,75,57.65,56.5,46.4,8.95
laguna,0,MX,10-3-2018,67,27.52,-110.01,80.81,3.62
lagoa,40,PT,10-3-2018,88,37.14,-8.45,69.8,8.05
san juan,0,AR,10-3-2018,65,-31.54,-68.53,46.25,4.97
lakselv,92,NO,10-3-2018,59,70.05,24.96,37.4,25.28
grand gaube,40,MU,10-3-2018,82,-20.01,57.66,68.0,2.24
tilichiki,44,RU,10-3-2018,89,60.47,166.1,45.53,10.45
daru,80,SL,10-3-2018,98,7.99,-10.85,73.16,3.18
alyangula,0,AU,10-3-2018,84,-13.85,136.42,83.33,14.58
nikolayevsk-na-amure,76,RU,10-3-2018,83,53.14,140.72,49.76,11.79
iqaluit,90,CA,10-3-2018,92,63.75,-68.52,30.2,16.11
romanovskaya,36,RU,10-3-2018,99,47.54,42.02,60.29,6.98
sangar,80,RU,10-3-2018,82,63.92,127.47,36.62,2.95
morlenbach,20,DE,10-3-2018,94,49.6,8.73,51.8,10.45
danilov,88,RU,10-3-2018,96,58.19,40.17,42.74,10.22
ahipara,92,NZ,10-3-2018,78,-35.17,173.16,62.45,0.49
lavrentiya,92,RU,10-3-2018,90,65.58,-170.99,46.16,27.89
priyutnoye,20,RU,10-3-2018,87,46.1,43.51,60.8,4.47
batagay,76,RU,10-3-2018,75,67.65,134.64,31.94,4.29
koslan,92,RU,10-3-2018,96,63.46,48.9,42.92,8.21
daryapur,0,IN,10-3-2018,78,20.92,77.32,82.61,4.29
yevsino,68,RU,10-3-2018,97,54.42,83.32,40.31,7.99
port said,0,EG,10-3-2018,43,25.34,30.55,78.74,7.43
ust-kulom,92,RU,10-3-2018,92,61.69,53.69,42.74,6.98
west plains,1,US,10-3-2018,81,36.73,-91.85,73.94,4.7
plettenberg bay,92,ZA,10-3-2018,100,-34.05,23.37,59.66,8.99
oksovskiy,92,RU,10-3-2018,99,62.61,39.91,44.09,6.64
camopi,0,GF,10-3-2018,79,3.17,-52.33,76.76,4.18
lorengau,36,PG,10-3-2018,97,-2.02,147.27,85.4,4.41
warragul,48,AU,10-3-2018,72,-38.16,145.93,62.54,3.4
palora,76,EC,10-3-2018,100,-1.7,-77.97,61.82,0.38
birao,8,CF,10-3-2018,87,10.3,22.78,71.36,4.18
zyryanka,0,RU,10-3-2018,72,65.73,150.89,37.25,2.62
zhangye,0,CN,10-3-2018,55,38.94,100.46,57.41,3.85
yantal,92,RU,10-3-2018,100,56.85,105.25,36.62,5.19
khatanga,80,RU,10-3-2018,100,71.98,102.47,32.21,6.31
salym,56,RU,10-3-2018,89,60.06,71.48,42.74,6.2
lasa,20,CY,10-3-2018,72,34.92,32.53,69.8,3.36
san-pedro,80,CI,10-3-2018,95,4.75,-6.64,75.05,4.18
byron bay,0,AU,10-3-2018,53,-28.65,153.62,71.6,13.87
loviisa,40,FI,10-3-2018,100,60.46,26.23,37.4,3.36
acapulco,40,MX,10-3-2018,79,16.86,-99.88,84.2,10.29
beira,0,ES,10-3-2018,93,43.2,-8.36,55.4,6.93
wattegama,8,LK,10-3-2018,95,7.35,80.68,76.76,2.73
sechura,56,PE,10-3-2018,87,-5.56,-80.82,67.22,12.24
maxixe,0,MZ,10-3-2018,93,-23.86,35.35,66.2,11.68
kutum,100,SD,10-3-2018,28,14.2,24.66,83.24,8.21
arica,90,CL,10-3-2018,63,-18.48,-70.32,66.2,2.24
forest grove,40,US,10-3-2018,64,45.52,-123.11,59.0,4.7
omsukchan,88,RU,10-3-2018,81,62.53,155.8,32.21,4.85
brookings,90,US,10-3-2018,96,44.31,-96.8,57.92,12.75
winsum,64,NL,10-3-2018,66,53.33,6.52,55.4,11.41
berlevag,75,NO,10-3-2018,64,70.86,29.09,39.2,14.99
coihaique,90,CL,10-3-2018,56,-45.58,-72.07,44.6,4.7
